run,Targx/Hall Coord,Targy/Hall Coord
1672,-0.7609,0.6807
1673,-0.7675,0.6934
1676,-0.6745,0.8551
20807,-0.8592,0.7883
20809,-0.8902,0.6457
20804,-0.7609,0.6806
20805,-0.7537,0.6701
20806,-0.8279,0.7873
1675,-0.8825,0.7946
1677,-0.8947,0.659
1693,0.314,-0.4061
1694,-0.7409,0.4932
1695,-0.7393,0.5048
1696,-0.7453,0.4971
20824,0.314,-0.4056
20825,-0.7409,0.4931
20826,-0.7522,0.5059
20827,-0.7571,0.5107
2230,-0.2,-0.501
2239,3.7944,-0.5007
2240,-0.2004,-0.4996
2241,-3.2,-0.4986
2242,2.7969,-0.4979
2243,1.7868,-3.5004
2244,1.7921,-3.4975
2245,-2.2083,-3.497
2246,-0.1952,-3.5004
2247,-0.1942,-0.499
2256,-0.1973,-0.4995
2257,-0.2005,-0.4984
21363,3.7988,-0.5012
21364,-0.2005,-0.4994
21365,-3.2,-0.4985
21366,2.797,-0.4979
21367,1.7864,-3.5015
21368,1.7921,-3.4975
21370,-0.1967,-3.5015
21381,-0.1941,-0.4988
21380,-0.1973,-0.4995
2550,-0.1085981351,-0.2023768663
2551,-0.201924696,-0.1020215831
2552,-0.2076162698,-0.2967950374
2553,-0.002098991246,-0.2986116161
2554,-0.004955063502,-0.09811090872
2555,-0.09329322575,-0.1947557128
2556,-0.1129699651,-0.2035104158
2557,-0.2053038088,-0.1042611207
2558,-0.2012244123,-0.2978126394
2559,-0.008613651519,-0.3017215506
2560,0.003036744491,-0.1023522174
2561,0.001267719797,-0.1006212704
2562,0.004976255342,-0.2915424296
2563,-0.2022485395,-0.2959276736
2564,-0.2113749987,-0.09960095026
2565,-0.09971620904,-0.1999488472
2566,-0.09789592627,-0.2022647066
2567,-0.1910203319,-0.1007772223
2568,-0.1984316297,-0.3009490263
2569,0.00677501046,-0.304567869
2570,0.007572266986,-0.1018808426
21626,-0.1087889227,-0.2020845988
21627,-0.2019528803,-0.1018988632
21628,-0.207645674,-0.2968087259
21629,-0.001999088966,-0.2986304047
21630,-0.004932907577,-0.09811314746
21631,-0.09306753146,-0.1952993012
21632,-0.1129274599,-0.203599746
21633,-0.2054820755,-0.1041864416
21634,-0.2010041832,-0.2979797592
21635,-0.008236048942,-0.302039488
21636,0.003347264368,-0.1023270583
21637,0.0035718592,-0.1013506324
21638,0.005482505722,-0.2915111349
21639,-0.2020969521,-0.2957976194
